Frequency (Hz)	Level (dB)
0.672913	-88.235779
1.345825	-91.948929
2.018738	-93.181091
2.691650	-93.987694
3.364563	-89.317711
4.037476	-76.593567
4.710388	-69.206917
5.383301	-69.053932
6.056213	-73.230400
6.729126	-77.746338
7.402039	-71.372314
8.074951	-71.249451
8.747864	-73.459183
9.420776	-73.429634
10.093689	-73.714630
10.766602	-74.136192
11.439514	-74.138817
12.112427	-72.727455
12.785339	-70.996048
13.458252	-67.820015
14.131165	-66.573318
14.804077	-70.165535
15.476990	-73.612991
16.149902	-74.050865
16.822815	-72.445808
17.495728	-68.657608
18.168640	-64.824615
18.841553	-62.170811
19.514465	-59.519035
20.187378	-56.833080
20.860291	-55.946003
21.533203	-56.766911
22.206116	-56.539391
22.879028	-54.400188
23.551941	-54.817898
24.224854	-56.294849
24.897766	-54.480534
25.570679	-56.344608
26.243591	-58.620117
26.916504	-63.264484
27.589417	-67.840347
28.262329	-67.622406
28.935242	-69.275757
29.608154	-70.454643
30.281067	-67.392258
30.953979	-66.100090
31.626892	-67.838173
32.299805	-67.594757
32.972717	-66.343170
33.645630	-64.056770
34.318542	-66.162872
34.991455	-69.204613
35.664368	-72.356743
36.337280	-75.823746
37.010193	-77.049461
37.683105	-77.260086
38.356018	-75.411446
39.028931	-72.109642
39.701843	-71.821342
40.374756	-71.548492
41.047668	-67.383270
41.720581	-64.435913
42.393494	-62.754734
43.066406	-61.353104
43.739319	-62.016415
44.412231	-62.809792
45.085144	-62.093803
45.758057	-62.063538
46.430969	-61.970341
47.103882	-61.872658
47.776794	-62.469738
48.449707	-63.952072
49.122620	-64.885132
49.795532	-65.904892
50.468445	-63.193329
51.141357	-63.336113
51.814270	-62.050667
52.487183	-62.345993
53.160095	-62.149853
53.833008	-64.097160
54.505920	-64.547005
55.178833	-63.771313
55.851746	-64.297615
56.524658	-64.147316
57.197571	-65.350571
57.870483	-63.075253
58.543396	-60.749405
59.216309	-63.241852
59.889221	-62.219654
60.562134	-64.031433
61.235046	-65.532745
61.907959	-65.163994
62.580872	-67.487068
63.253784	-67.176514
63.926697	-65.862480
64.599609	-66.828957
65.272522	-66.587181
65.945435	-65.550964
66.618347	-67.871460
67.291260	-64.853531
67.964172	-65.855896
68.637085	-70.293159
69.309998	-69.365891
69.982910	-68.201019
70.655823	-68.219383
71.328735	-70.298180
72.001648	-69.924408
72.674561	-70.734444
73.347473	-72.725952
74.020386	-73.133965
74.693298	-72.449745
75.366211	-71.220711
76.039124	-70.779594
76.712036	-72.499718
77.384949	-74.602982
78.057861	-71.819473
78.730774	-69.749092
79.403687	-71.858826
80.076599	-72.333435
80.749512	-70.625351
81.422424	-69.542274
82.095337	-71.803040
82.768250	-70.214287
83.441162	-61.738762
84.114075	-60.421062
84.786987	-68.097923
85.459900	-71.016129
86.132812	-70.867409
86.805725	-68.967873
87.478638	-68.011993
88.151550	-68.015938
88.824463	-68.969299
89.497375	-66.229599
90.170288	-63.975197
90.843201	-64.636703
91.516113	-63.519058
92.189026	-60.763008
92.861938	-54.642609
93.534851	-46.919704
94.207764	-47.153675
94.880676	-54.774937
95.553589	-59.584858
96.226501	-62.229366
96.899414	-62.933929
97.572327	-63.972580
98.245239	-64.636589
98.918152	-65.652687
99.591064	-66.495087
100.263977	-65.398804
100.936890	-62.879570
101.609802	-62.842766
102.282715	-65.243393
102.955627	-63.816017
103.628540	-62.103401
104.301453	-62.389584
104.974365	-65.218674
105.647278	-64.900642
106.320190	-62.512966
106.993103	-63.003231
107.666016	-65.331642
108.338928	-65.128906
109.011841	-63.643578
109.684753	-62.982132
110.357666	-64.051155
111.030579	-65.489037
111.703491	-64.853607
112.376404	-64.931511
113.049316	-64.797249
113.722229	-63.543667
114.395142	-62.558327
115.068054	-60.770752
115.740967	-61.078770
116.413879	-60.381359
117.086792	-60.047890
117.759705	-59.783321
118.432617	-60.295883
119.105530	-59.858253
119.778442	-59.315323
120.451355	-59.276745
121.124268	-60.763626
121.797180	-62.923229
122.470093	-63.406254
123.143005	-60.592297
123.815918	-58.695190
124.488831	-55.103394
125.161743	-59.850849
125.834656	-64.570427
126.507568	-64.194069
127.180481	-63.283813
127.853394	-64.636749
128.526306	-65.084457
129.199219	-65.182816
129.872131	-65.143021
